import time: self [us] | cumulative | imported package
import time:      4480 |       4480 |               jax._src.lax.control_flow.solves
import time:      4337 |      42860 |             jax._src.lax.control_flow
import time:        21 |      42880 |           jax._src.lax.control_flow.loops
import time:      4192 |      47072 |         jax._src.lax.special
import time:      6254 |       6254 |         jax._src.lax.fft
import time:      6953 |       6953 |         jax._src.lax.parallel
import time:      7080 |       7080 |                 jax._src.numpy.util
import time:      4907 |      11986 |               jax._src.numpy.array_constructors
import time:      7336 |       7336 |                       jax._src.shard_map
import time:      5105 |       5105 |                       jax._src.export
import time:       675 |        675 |                                 opt_einsum.parser
import time:       834 |       1509 |                               opt_einsum.helpers
import time:      1224 |       2732 |                             opt_einsum.blas
import time:       982 |        982 |                             opt_einsum.paths
import time:       818 |        818 |                             opt_einsum.path_random
import time:     18743 |      18743 |                                 _decimal
import time:      4801 |      23543 |                               decimal
import time:       478 |        478 |                                   opt_einsum.sharing
import time:      1085 |       1563 |                                 opt_einsum.backends.cupy
import time:       861 |        861 |                                   opt_einsum.backends.object_arrays
import time:       515 |        515 |                                   opt_einsum.backends.jax
import time:       356 |        356 |                                   opt_einsum.backends.tensorflow
import time:       288 |        288 |                                   opt_einsum.backends.theano
import time:       506 |        506 |                                   opt_einsum.backends.torch
import time:       765 |       3289 |                                 opt_einsum.backends.dispatch
import time:      1092 |       5943 |                               opt_einsum.backends
import time:       875 |      30360 |                             opt_einsum.contract
import time:       370 |        370 |                             opt_einsum._version
import time:       868 |      36128 |                           opt_einsum
import time:      7177 |      43304 |                         jax._src.export.shape_poly
import time:      7434 |      50737 |                       jax._src.export._export
import time:      6185 |      69362 |                     jax._src.error_check
import time:      3880 |       3880 |                         jax._src.numpy.einsum
import time:      7559 |      11439 |                       jax._src.numpy.indexing
import time:      6370 |       6370 |                       jax._src.numpy.reductions
import time:      4416 |       4416 |                         jax._src.numpy.vectorize
import time:      4355 |       8770 |                       jax._src.numpy.tensor_contractions
import time:      5370 |       5370 |                       jax._src.numpy.sorting
import time:      9656 |      41604 |                     jax._src.numpy.lax_numpy
import time:      5531 |     116496 |                   jax._src.numpy.error
import time:      4462 |       4462 |                   jax._src.numpy.ufunc_api
import time:      7611 |     128568 |                 jax._src.numpy.ufuncs
import time:      4590 |     133158 |               jax._src.numpy.array_creation
import time:      4861 |       4861 |               jax._src.numpy.index_tricks
import time:      3776 |       3776 |                     jax._src.custom_partitioning_sharding_rule
import time:      4229 |       4229 |                     jax._src.ffi
import time:      6210 |      14215 |                   jax._src.lax.linalg
import time:      6598 |      20813 |                 jax._src.numpy.linalg
import time:      5023 |      25835 |               jax._src.numpy.polynomial
import time:      6266 |       6266 |               jax._src.numpy.setops
import time:      5693 |     187798 |             jax._src.numpy
import time:        19 |     187817 |           jax._src.numpy.indexing
